2020-02-27 23:51:45,406 ERROR    myPIC macro not initialized correctly.
2020-02-27 23:59:56,096 DEBUG    STREAM b'gAMA' 54 4
2020-02-27 23:59:56,097 DEBUG    STREAM b'pHYs' 70 9
2020-02-27 23:59:56,097 DEBUG    STREAM b'IDAT' 91 1502
2020-02-27 23:59:57,042 ERROR    Pause button not found.
2020-02-28 00:00:21,481 INFO     AutoImage script initialized in False
2020-02-28 00:00:21,534 INFO     New image found at: P:\Kai\20191206-Exp302-Sequential_bridges_tests\20191206_Ibidi2-ChB-15min-D1-1XA565.czi
2020-02-28 00:00:21,537 INFO     Template image: P:\Kai\20191206-Exp302-Sequential_bridges_tests\20191206_Ibidi2-ChB-15min-D1-1XA565-25FA_wash.czi
2020-02-28 00:00:21,537 INFO     New image: P:\Kai\20191206-Exp302-Sequential_bridges_tests\20191206_Ibidi2-ChB-15min-D1-1XA565.czi
2020-02-28 00:00:21,540 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:00:21,541 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:00:21,542 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:00:21,542 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:00:21,543 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:00:22,473 ERROR    Pause button not found.
2020-02-28 00:00:46,449 INFO     Finished registering, newX, newY, newZ: 517.4 510.6 14.5
2020-02-28 00:00:51,489 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:00:51,491 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:00:51,491 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:00:51,492 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:00:51,493 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:00:52,390 ERROR    Pause button not found.
2020-02-28 00:00:54,519 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:00:54,521 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:00:54,522 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:00:54,522 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:00:54,523 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:00:55,588 ERROR    Pause button not found.
2020-02-28 00:00:57,543 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:00:57,543 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:00:57,543 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:00:57,543 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:00:57,543 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:00:58,655 ERROR    Pause button not found.
2020-02-28 00:01:00,578 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:00,581 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:00,581 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:00,582 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:00,583 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:01,490 ERROR    Pause button not found.
2020-02-28 00:01:03,623 DEBUG    STREAM b'IHDR' 16 13
2020-02-28 00:01:03,623 DEBUG    STREAM b'sRGB' 41 1
2020-02-28 00:01:03,623 DEBUG    STREAM b'gAMA' 54 4
2020-02-28 00:01:03,623 DEBUG    STREAM b'pHYs' 70 9
2020-02-28 00:01:03,623 DEBUG    STREAM b'IDAT' 91 1502
2020-02-28 00:01:04,682 ERROR    Pause button not found.
